黑龙江联通,#genre#
黑龙江卫视高清,http://1.58.82.139:8886/udp/229.58.190.150:5000
黑龙江影视高清,http://1.58.82.139:8886/udp/229.58.190.14:5000
黑龙江新闻高清,http://1.58.82.139:8886/udp/229.58.190.16:5000
黑龙江文体,http://1.58.82.139:8886/udp/229.58.190.30:5000
黑龙江少儿高清,http://1.58.82.139:8886/udp/229.58.190.39:5000
黑龙江农业,http://1.58.82.139:8886/udp/229.58.190.7:5000
黑龙江都市,http://1.58.82.139:8886/udp/229.58.190.34:5000

齐齐哈尔新闻,http://1.58.82.139:8886/udp/229.58.190.164:5000
齐齐哈尔经济,http://1.58.82.139:8886/udp/229.58.190.192:5000
齐齐哈尔公共,http://1.58.82.139:8886/udp/229.58.190.4:5000
佳木斯新闻,http://1.58.82.139:8886/udp/229.58.190.163:5000

9号[768*576],http://1.58.82.139:8886/udp/229.58.190.9:5000
81号[768*576],http://1.58.82.139:8886/udp/229.58.190.81:5000
79号[768*576],http://1.58.82.139:8886/udp/229.58.190.79:5000
69号[768*576],http://1.58.82.139:8886/udp/229.58.190.69:5000
56号[1024*576],http://1.58.82.139:8886/udp/229.58.190.56:5000
49号[768*576],http://1.58.82.139:8886/udp/229.58.190.49:5000
47号[768*576],http://1.58.82.139:8886/udp/229.58.190.47:5000
46号[768*576],http://1.58.82.139:8886/udp/229.58.190.46:5000
44号[768*576],http://1.58.82.139:8886/udp/229.58.190.44:5000
43号[768*576],http://1.58.82.139:8886/udp/229.58.190.43:5000
42号[1024*576],http://1.58.82.139:8886/udp/229.58.190.42:5000
41号[768*576],http://1.58.82.139:8886/udp/229.58.190.41:5000
40号[768*576],http://1.58.82.139:8886/udp/229.58.190.40:5000
2号[1920*1080],http://1.58.82.139:8886/udp/229.58.190.2:5000
196号[1047*576],http://1.58.82.139:8886/udp/229.58.190.196:5000
17号[768*576],http://1.58.82.139:8886/udp/229.58.190.17:5000
173号[768*576],http://1.58.82.139:8886/udp/229.58.190.173:5000
15号[768*576],http://1.58.82.139:8886/udp/229.58.190.15:5000
155号[785*576],http://1.58.82.139:8886/udp/229.58.190.155:5000
12号[785*576],http://1.58.82.139:8886/udp/229.58.190.12:5000
120号[1024*576],http://1.58.82.139:8886/udp/229.58.190.120:5000
118号[1024*576],http://1.58.82.139:8886/udp/229.58.190.118:5000
117号[1024*576],http://1.58.82.139:8886/udp/229.58.190.117:5000
10号[1024*576],http://1.58.82.139:8886/udp/229.58.190.10:5000

